class,precision,recall,f1-score,support,Category,patch_size,data_type
Pine,0.6455089820359281,0.7220361687876758,0.6816313626304141,4479.0,Overall,9,validation
Nut Pine,0.7633289986996099,0.5704567541302236,0.6529477196885428,4116.0,Overall,9,validation
Larch,0.8633068081343943,0.8465406623894572,0.8548415338819821,5767.0,Overall,9,validation
Mongolian Oak,0.5719162995594713,0.8283617801882278,0.6766564597042153,6269.0,Overall,9,validation
Oriental Oak,0.640963269277548,0.42741281427412814,0.5128454651615415,6165.0,Overall,9,validation
accuracy,0.7073912026986406,0.7073912026986406,0.7073912026986406,0.7073912026986406,Overall,9,validation
macro avg,0.7408019437432269,0.7188485281068228,0.7195831794422177,29941.0,Overall,9,validation
weighted avg,0.7203233079115028,0.7073912026986406,0.7022446029318853,29941.0,Overall,9,validation
Conifer,0.9449711153903125,0.895619823108241,0.9196338474845034,14246.0,Conifer vs Broadleaf,9,validation
Broadleaf,0.887117589007819,0.9402204521683161,0.9128974298882899,12429.0,Conifer vs Broadleaf,9,validation
accuracy,0.9164011246485473,0.9164011246485473,0.9164011246485473,0.9164011246485473,Conifer vs Broadleaf,9,validation
macro avg,0.9160443521990658,0.9179201376382785,0.9162656386863967,26675.0,Conifer vs Broadleaf,9,validation
weighted avg,0.9180147337817648,0.9164011246485473,0.9164950683166182,26675.0,Conifer vs Broadleaf,9,validation
Pine,0.6821345707656613,0.829443447037702,0.7486111111111111,3899.0,Conifer,9,validation
Nut Pine,0.7839732888146912,0.621822033898305,0.6935460050214148,3776.0,Conifer,9,validation
Larch,0.9719291260203066,0.9602675059008655,0.9660631245671317,5084.0,Conifer,9,validation
accuracy,0.820126969198213,0.820126969198213,0.820126969198213,0.820126969198213,Conifer,9,validation
macro avg,0.8126789952002197,0.8038443289456242,0.8027400802332192,12759.0,Conifer,9,validation
weighted avg,0.827746179690166,0.820126969198213,0.818961467394183,12759.0,Conifer,9,validation
Mongolian Oak,0.6410319713615603,0.8453524336643334,0.7291491154170177,6143.0,Broadleaf,9,validation
Oriental Oak,0.7350069735006973,0.47537434602200973,0.5773444347063978,5543.0,Broadleaf,9,validation
accuracy,0.6698613725825775,0.6698613725825775,0.6698613725825775,0.6698613725825775,Broadleaf,9,validation
macro avg,0.6880194724311288,0.6603633898431716,0.6532467750617077,11686.0,Broadleaf,9,validation
weighted avg,0.6856069702369014,0.6698613725825775,0.6571438659579243,11686.0,Broadleaf,9,validation
Non-Forest,0.9597392954376701,0.9722117755212903,0.9659352749465469,23931.0,Overall,11,train_data
Pine,0.7651336120705327,0.6713989472005104,0.7152081563296516,18807.0,Overall,11,train_data
Nut Pine,0.6948308683555425,0.7141244638422756,0.7043455672245519,13289.0,Overall,11,train_data
Larch,0.923293098682392,0.8853596041703481,0.9039285553200126,22636.0,Overall,11,train_data
Mongolian Oak,0.6545315438809015,0.8728107464716884,0.7480735248574499,23524.0,Overall,11,train_data
Oriental Oak,0.6746526114039291,0.47426037163869084,0.5569803856930938,17813.0,Overall,11,train_data
accuracy,0.7867,0.7867,0.7867,0.7867,Overall,11,train_data
macro avg,0.7786968383051613,0.765027651474134,0.7657452440618844,120000.0,Overall,11,train_data
weighted avg,0.7908787159822777,0.7867,0.7825605424250515,120000.0,Overall,11,train_data
Conifer,0.9705338908878732,0.925462267475287,0.9474623578331782,53919.0,Conifer vs Broadleaf,11,train_data
Broadleaf,0.9079857136315765,0.963204935153252,0.9347805590911233,41174.0,Conifer vs Broadleaf,11,train_data
accuracy,0.9418043389103299,0.9418043389103299,0.9418043389103299,0.9418043389103299,Conifer vs Broadleaf,11,train_data
macro avg,0.9392598022597249,0.9443336013142696,0.9411214584621508,95093.0,Conifer vs Broadleaf,11,train_data
weighted avg,0.9434513648307422,0.9418043389103299,0.9419713082143275,95093.0,Conifer vs Broadleaf,11,train_data
Pine,0.807921172179922,0.7786753823384311,0.793028732925106,16216.0,Conifer,11,train_data
Nut Pine,0.7183407766255393,0.7499604868025921,0.7338101681809395,12654.0,Conifer,11,train_data
Larch,0.9516144349477683,0.9529719448407038,0.9522927061059634,21030.0,Conifer,11,train_data
accuracy,0.8448496993987976,0.8448496993987976,0.8448496993987976,0.8448496993987976,Conifer,11,train_data
macro avg,0.8259587945844098,0.8272026046605756,0.8263772024040029,49900.0,Conifer,11,train_data
weighted avg,0.8457632361210573,0.8448496993987976,0.8451323328794297,49900.0,Conifer,11,train_data
Mongolian Oak,0.7107203433832947,0.8983985297978472,0.7936145952109465,22854.0,Broadleaf,11,train_data
Oriental Oak,0.7844011142061281,0.502707527521571,0.6127289211242067,16805.0,Broadleaf,11,train_data
accuracy,0.7307294687208452,0.7307294687208452,0.7307294687208452,0.7307294687208452,Broadleaf,11,train_data
macro avg,0.7475607287947115,0.700553028659709,0.7031717581675766,39659.0,Broadleaf,11,train_data
